Time (s),Voltage (V)
9.194,0.66
9.202,0.0
9.215,1.64
9.223,0.0
9.235,0.28
9.243,1.06
9.256,0.0
9.264,1.3
9.276,0.64
9.288,0.0
9.297,1.69
9.309,0.31
9.317,0.44
9.329,1.05
9.338,0.0
9.35,1.44
9.358,0.56
9.37,0.0
9.378,1.63
9.391,0.0
9.399,0.39
9.411,0.99
9.424,0.0
9.432,1.65
9.444,0.49
9.452,0.0
9.464,1.68
9.473,0.35
9.485,0.53
9.493,0.99
9.505,0.0
9.514,1.52
9.526,0.36
9.534,0.0
9.546,1.86
9.559,0.35
9.567,0.59
9.579,0.91
9.587,0.0
9.6,1.66
9.608,0.37
9.62,0.0
9.628,1.57
9.641,0.0
9.649,0.58
9.661,0.87
9.669,0.0
9.682,1.22
9.694,0.4
9.702,0.0
9.714,1.79
9.722,0.0
9.735,0.75
9.75,0.92
9.755,0.0
9.763,1.2
9.776,0.22
9.784,0.0
9.796,1.56
9.804,0.0
9.817,0.9
9.829,0.91
9.837,0.0
9.849,1.67
9.858,0.0
9.87,0.0
9.878,1.79
9.89,0.06
9.899,1.32
9.911,0.9
9.919,0.0
9.931,1.82
9.94,0.0
9.952,0.0
9.964,1.66
9.972,0.0
9.985,1.4
9.993,0.87
10.005,0.0
10.013,1.97
10.026,0.0
10.034,0.23
10.046,1.23
10.054,0.0
10.067,1.16
10.075,0.8
10.087,0.0
10.099,1.66
10.108,0.38
10.12,0.11
10.128,1.22
10.14,0.0
10.149,1.14
10.161,0.74
10.169,0.0
10.181,1.71
10.189,0.0
10.202,0.16
10.21,1.15
10.222,0.0
10.234,1.57
10.243,0.71
10.255,0.0
10.263,1.68
10.275,0.39
10.284,0.27
10.296,1.15
10.304,0.0
10.316,1.48
10.325,0.67
10.337,0.0
10.345,1.66
10.357,0.0
10.37,0.41
10.378,1.09
10.39,0.0
10.398,1.52
10.411,0.58
10.419,0.0
10.431,1.81
10.439,0.0
10.452,0.56
10.46,1.17
10.472,0.0
10.48,1.6
10.493,0.52
10.505,0.0
10.513,1.62
10.525,0.37
10.533,0.6
10.546,1.09
10.554,0.0
10.566,1.46
10.574,0.44
10.587,0.0
10.595,1.85
10.607,0.13
10.615,0.67
10.628,1.09
10.64,0.0
10.648,1.5
10.66,0.38
10.669,0.0
10.681,1.52
10.689,0.0
10.701,0.72
10.71,1.05
10.722,0.0
10.73,1.63
10.742,0.33
10.751,0.0
10.763,1.59
10.771,0.0
10.783,0.83
10.796,0.86
10.804,0.0
10.816,1.73
10.824,0.07
10.837,0.0
10.845,1.54
10.857,0.0
10.865,0.88
10.878,0.86
10.886,0.0
10.898,1.62
10.906,0.05
10.918,0.0
10.931,1.72
10.939,0.18
10.951,1.24
10.959,0.89
10.972,0.0
10.98,1.8
10.992,0.0
11.0,0.14
11.013,1.61
11.021,0.0
11.033,1.24
11.045,0.84
11.054,0.0
11.066,1.66
11.074,0.18
11.086,0.02
11.095,1.4
11.107,0.0
11.115,1.14
11.128,0.81
11.136,0.0
11.148,1.7
11.156,0.0
11.168,0.12
11.177,1.36
11.189,0.0
11.201,1.18
11.209,0.81
11.222,0.0
11.23,1.7
11.242,0.38
11.25,0.3
11.263,1.18
11.271,0.0
11.283,0.94
11.291,0.77
11.304,0.0
11.312,1.82
11.324,0.22
11.336,0.25
11.344,1.17
11.357,0.0
11.365,1.06
11.377,0.74
11.385,0.0
11.398,1.77
11.406,0.31
11.418,0.39
11.426,1.14
11.439,0.0
11.451,1.03
11.459,0.67
11.471,0.0
11.48,1.76
11.492,0.0
11.5,0.42
11.512,1.13
11.521,0.0
11.533,1.48
11.541,0.59
11.553,0.0
11.562,1.81
11.574,0.0
11.582,0.51
11.594,1.08
11.607,0.0
11.615,1.47
11.627,0.55
11.636,0.0
11.648,1.76
11.656,0.08
11.668,0.54
11.676,1.04
11.688,0.0
11.697,1.59
11.709,0.44
11.717,0.0
11.729,1.63
11.742,0.0
11.75,0.61
11.762,1.0
11.77,0.0
11.783,1.15
11.791,0.36
11.803,0.0
11.811,1.84
11.824,0.0
11.832,0.72
11.844,1.0
11.852,0.0
11.865,1.15
11.877,0.32
11.885,0.0
11.897,1.87
11.906,0.23
11.918,0.88
11.926,1.03
11.938,0.0
11.946,1.7
11.959,0.2
11.967,0.0
11.979,1.42
11.987,0.09
12.0,0.68
12.012,0.9
12.02,0.0
12.032,1.65
12.041,0.29
12.053,0.0
12.061,1.45
12.073,0.11
12.082,1.1
12.094,0.87
12.102,0.0
12.114,1.46
12.123,0.31
12.135,0.0
12.147,1.49
12.155,0.02
12.168,0.88
12.176,0.85
12.188,0.0
12.196,1.57
12.209,0.12
12.217,0.08
12.229,1.36
12.237,0.0
12.25,1.48
12.258,0.86
12.27,0.0
12.282,1.89
12.291,0.19
12.303,0.24
12.311,1.16
12.323,0.0
12.332,1.0
12.344,0.8
12.352,0.0
12.364,1.86
12.373,0.0
12.385,0.25
12.393,1.2
12.405,0.0
12.417,1.6
12.426,0.77
12.438,0.0
12.446,1.64
12.459,0.2
12.467,0.29
12.479,1.14
12.487,0.0
12.499,1.4
12.508,0.67
12.52,0.0
12.528,1.74
12.54,0.0
12.553,0.35
12.561,1.1
12.573,0.0
12.581,1.13
12.594,0.63
12.602,0.0
12.614,1.57
12.622,0.0
12.635,0.35
12.643,1.02
12.655,0.0
12.663,1.59
12.676,0.58
12.688,0.0
12.696,1.9
12.708,0.0
12.717,0.59
12.729,0.99
12.737,0.0
12.749,1.14
12.757,0.49
12.77,0.0
12.778,1.64
12.79,0.0
12.798,0.6
12.811,1.02
12.823,0.0
12.831,1.36
12.843,0.38
12.852,0.0
12.864,1.95
12.872,0.32
12.884,0.75
12.893,0.99
12.905,0.0
12.913,1.3
12.925,0.29
12.934,0.0
12.946,1.67
12.958,0.0
12.966,0.93
12.979,1.03
12.987,0.0
12.999,1.42
13.007,0.27
13.02,0.0
13.028,1.98
13.04,0.23
13.048,1.13
13.061,0.92
13.069,0.0
13.081,1.87
13.093,0.3
13.102,0.0
13.114,1.91
13.122,0.24
13.134,0.96
13.143,0.94
13.155,0.0
13.163,1.58
13.175,0.42
13.183,0.0
13.196,1.46
13.204,0.0
13.216,0.73
13.229,0.7
13.237,0.0
13.249,1.3
13.257,0.02
13.27,0.0
13.278,1.28
13.29,0.0
13.298,1.0
13.31,0.79
13.319,0.0
13.331,1.74
13.339,0.17
13.351,0.06
13.364,1.09
13.372,0.0
13.384,0.99
13.393,0.81
13.405,0.0
13.413,1.58
13.425,0.0
13.433,0.06
13.446,1.07
13.454,0.0
13.466,1.19
13.474,0.75
13.487,0.0
13.499,1.72
13.507,0.0
13.519,0.12
13.528,0.99
13.54,0.0
13.548,1.08
13.56,0.64
13.568,0.0
13.581,1.72
13.589,0.0
13.601,0.22
13.609,0.86
13.622,0.0
13.634,1.52
13.642,0.57
13.654,0.0
13.663,1.65
13.675,0.0
13.683,0.31
13.695,1.0
13.704,0.0
13.716,1.56
13.724,0.56
13.736,0.0
13.745,1.71
13.757,0.19
13.769,0.5
13.778,0.99
13.79,0.0
13.798,1.23
13.81,0.47
13.818,0.0
13.831,1.82
13.839,0.0
13.851,0.5
13.859,0.93
13.872,0.0
13.88,1.6
13.892,0.41
13.904,0.0
13.913,1.85
13.925,0.0
13.933,0.57
13.945,0.91
13.953,0.0
13.966,1.59
13.974,0.3
13.986,0.0
13.994,1.52
14.007,0.09
14.015,0.66
14.027,0.87
14.035,0.0
14.048,1.42
14.06,0.26
14.068,0.0
14.08,1.58
14.089,0.0
14.101,1.09
14.109,0.93
14.121,0.0
14.13,1.41
14.142,0.0
14.15,0.0
14.162,1.59
14.171,0.0
14.183,0.92
14.195,0.79
14.203,0.0
14.216,1.5
14.224,0.18
14.236,0.0
14.244,1.58
14.257,0.0
14.265,0.85
14.277,0.91
14.285,0.0
14.297,1.84
14.306,0.03
14.318,0.02
14.33,1.44
14.338,0.0
14.351,1.03
14.359,0.85
14.371,0.0
14.379,1.72
14.392,0.0
14.4,0.08
14.412,1.18
14.42,0.0
14.433,1.1
14.441,0.81
14.453,0.0
14.465,1.97
14.474,0.36
14.486,0.12
14.494,1.09
14.506,0.0
14.515,0.98
14.527,0.77
14.535,0.0
14.547,1.68
14.557,0.06
14.568,0.23
14.576,1.12
14.588,0.0
14.601,1.0
14.609,0.71
14.621,0.0
